"﻿""Date""",Price,Open,High,Low,Vol.,Change %
"Sep 06, 2011",216.18,204.77,216.6,204.47,6.22M,2.94%
"Sep 07, 2011",219.9,218.8,220.19,214.22,5.30M,1.72%
"Sep 08, 2011",217.26,218.3,220.64,216.34,4.41M,-1.20%
"Sep 09, 2011",211.39,215.05,216.96,209.75,4.58M,-2.70%
"Sep 12, 2011",216.56,208.75,216.66,208.65,5.34M,2.45%
"Sep 13, 2011",219.53,217.79,219.95,215.01,4.84M,1.37%
"Sep 14, 2011",222.57,220.22,224.99,216.72,5.88M,1.38%
"Sep 15, 2011",226.78,223.99,227.2,221.25,5.61M,1.89%
"Sep 16, 2011",239.3,227.57,240.44,226.74,11.76M,5.52%
"Sep 19, 2011",241.69,237.11,244,232.88,8.22M,1.00%
"Sep 20, 2011",233.25,240.8,241.05,231.03,7.39M,-3.49%
"Sep 21, 2011",231.87,234.51,240.52,231.81,5.88M,-0.59%
"Sep 22, 2011",223.23,224.72,228.79,219,8.26M,-3.73%
"Sep 23, 2011",223.61,220.51,224.49,219.06,6.47M,0.17%
"Sep 26, 2011",229.85,227.48,230.24,221.4,5.79M,2.79%
"Sep 27, 2011",224.21,234.22,234.75,222.4,7.84M,-2.45%
"Sep 28, 2011",229.71,226.35,235.81,225.6,14.44M,2.45%
"Sep 29, 2011",222.44,234.17,234.3,216.29,9.38M,-3.16%
"Sep 30, 2011",216.23,218.19,223,215.21,6.55M,-2.79%
"Oct 03, 2011",211.98,217.01,221.6,211.39,6.63M,-1.97%
"Oct 04, 2011",212.5,209.62,215,200.43,8.72M,0.25%
"Oct 05, 2011",219.5,212.53,220.17,208.48,6.51M,3.29%
"Oct 06, 2011",221.51,220.28,223.62,217.55,6.85M,0.92%
"Oct 07, 2011",224.74,222.48,227.9,218.41,6.79M,1.46%
"Oct 10, 2011",231.32,226.23,232.8,224.1,5.15M,2.93%
"Oct 11, 2011",235.48,230.6,236.75,229,5.01M,1.80%
"Oct 12, 2011",236.81,236.64,241.84,234.33,6.51M,0.56%
"Oct 13, 2011",236.15,237,239.68,235.23,4.84M,-0.28%
"Oct 14, 2011",246.71,240.87,246.71,240.18,5.93M,4.47%
"Oct 17, 2011",242.33,244.29,246.71,240.67,4.78M,-1.78%
"Oct 18, 2011",243.88,242.31,244.61,236.62,4.61M,0.64%
"Oct 19, 2011",231.53,240.67,243.33,229.25,6.72M,-5.06%
"Oct 20, 2011",233.61,232.13,234.74,229.8,4.53M,0.90%
"Oct 21, 2011",234.78,236.91,237,230.6,4.57M,0.50%
"Oct 24, 2011",237.61,236.02,240.47,234,4.98M,1.21%
"Oct 25, 2011",227.15,238.59,239.01,225.89,14.01M,-4.40%
"Oct 26, 2011",198.4,203.69,207.58,196.51,24.14M,-12.66%
"Oct 27, 2011",206.78,204.26,208.6,201.1,10.78M,4.22%
"Oct 28, 2011",217.32,206.53,218.4,205.75,9.89M,5.10%
"Oct 31, 2011",213.51,215.79,218.89,213.04,7.35M,-1.75%
"Nov 01, 2011",212.1,208.11,216.21,207.43,8.52M,-0.66%
"Nov 02, 2011",215.62,215.55,216.79,212.72,6.13M,1.66%
"Nov 03, 2011",218.29,216.31,218.5,213.02,5.32M,1.24%
"Nov 04, 2011",216.48,217.65,218.23,214.33,4.07M,-0.83%
"Nov 07, 2011",217,216.84,220.2,214,3.86M,0.24%
"Nov 08, 2011",217.99,219.2,219.35,215.21,3.92M,0.46%
"Nov 09, 2011",211.22,214.95,215.7,210.6,4.69M,-3.11%
"Nov 10, 2011",210.79,213.5,214.06,208.1,5.04M,-0.20%
"Nov 11, 2011",217.39,212.52,217.88,210.31,5.17M,3.13%
"Nov 14, 2011",218.93,215.65,222.35,214.25,6.52M,0.71%
"Nov 15, 2011",217.83,218,220.33,214.26,5.74M,-0.50%
"Nov 16, 2011",211.99,216.27,216.97,211.23,5.51M,-2.68%
"Nov 17, 2011",204.52,212.51,212.9,202.1,7.99M,-3.52%
"Nov 18, 2011",197.14,205.33,205.34,197.11,8.44M,-3.61%
"Nov 21, 2011",189.25,193.29,193.36,185.05,11.32M,-4.00%
"Nov 22, 2011",192.34,186.95,194.04,183.58,9.92M,1.63%
"Nov 23, 2011",188.99,193.06,194.6,187.89,8.01M,-1.74%
"Nov 25, 2011",182.4,190.41,190.83,181.51,4.97M,-3.49%
"Nov 28, 2011",194.15,191.65,194.62,190.54,7.21M,6.44%
"Nov 29, 2011",188.39,194.78,195.5,187.3,6.58M,-2.97%
"Nov 30, 2011",192.29,194.76,195.3,188.75,7.72M,2.07%
"Dec 01, 2011",197.13,191.85,198.07,191.59,7.33M,2.52%
"Dec 02, 2011",196.03,197.07,199.66,195.18,7.53M,-0.56%
"Dec 05, 2011",196.24,198.86,199,193.67,5.92M,0.11%
"Dec 06, 2011",191.99,195.98,198.32,190.11,5.20M,-2.17%
"Dec 07, 2011",195.32,191.03,196.71,189.12,6.43M,1.73%
"Dec 08, 2011",190.48,193.57,195.89,190.08,4.36M,-2.48%
"Dec 09, 2011",193.03,191.21,193.95,188.4,5.16M,1.34%
"Dec 12, 2011",189.52,190.03,191.15,187.63,4.34M,-1.82%
"Dec 13, 2011",180.51,188.56,189.68,178.5,9.31M,-4.75%
"Dec 14, 2011",180.21,179,180.75,170.25,11.62M,-0.17%
"Dec 15, 2011",181.26,182.05,184.8,179.53,7.26M,0.58%
"Dec 16, 2011",181.26,182.42,184.41,180.31,6.67M,0.00%
"Dec 19, 2011",179.33,182,183.17,179,4.54M,-1.06%
"Dec 20, 2011",182.52,182.69,183.17,180.54,4.60M,1.78%
"Dec 21, 2011",174.35,181.92,183.5,172.49,8.07M,-4.48%
"Dec 22, 2011",179.03,175.09,179.67,174.21,4.70M,2.68%
"Dec 23, 2011",177.28,179.22,179.68,175.6,3.50M,-0.98%
"Dec 27, 2011",176.27,177.73,178.59,176.16,2.95M,-0.57%
"Dec 28, 2011",173.89,176.39,176.65,172.28,3.66M,-1.35%
"Dec 29, 2011",173.86,169.62,174.55,166.97,8.21M,-0.02%
"Dec 30, 2011",173.1,173.36,175.17,172.49,4.28M,-0.44%
"Jan 03, 2012",179.03,175.89,179.47,175.55,5.11M,3.43%
"Jan 04, 2012",177.51,179.21,180.5,176.06,4.21M,-0.85%
"Jan 05, 2012",177.61,175.94,178.25,174.05,3.81M,0.06%
"Jan 06, 2012",182.61,178.07,184.65,177.5,7.01M,2.82%
"Jan 09, 2012",178.56,182.76,184.37,177,5.06M,-2.22%
"Jan 10, 2012",179.34,181.1,182.4,177.1,3.99M,0.44%
"Jan 11, 2012",178.9,179.64,180.77,178.19,3.10M,-0.25%
"Jan 12, 2012",175.93,179.42,179.49,175.75,5.39M,-1.66%
"Jan 13, 2012",178.42,175.81,178.8,173.5,4.75M,1.42%
"Jan 17, 2012",181.66,180.15,183.3,178.51,5.65M,1.82%
"Jan 18, 2012",189.44,181.94,190.25,181.12,7.48M,4.28%
"Jan 19, 2012",194.45,190.88,195.94,190.36,7.10M,2.64%
"Jan 20, 2012",190.93,190.71,192.9,189.04,5.61M,-1.81%
"Jan 23, 2012",186.09,190.79,191.73,185.23,4.59M,-2.53%
"Jan 24, 2012",187,185,188.41,183.82,4.68M,0.49%
"Jan 25, 2012",187.8,186.99,188.17,184.61,4.31M,0.43%
"Jan 26, 2012",193.32,189.3,194.85,188.73,5.88M,2.94%
"Jan 27, 2012",195.37,193.09,196.5,192.33,4.66M,1.06%
"Jan 30, 2012",192.15,193.68,195,190.13,5.43M,-1.65%
"Jan 31, 2012",194.44,194,195.63,189.7,12.77M,1.19%
"Feb 01, 2012",179.46,173.81,179.95,172,21.34M,-7.70%
"Feb 02, 2012",181.72,179.65,181.94,176.8,8.74M,1.26%
"Feb 03, 2012",187.68,182.83,187.9,181.89,8.12M,3.28%
"Feb 06, 2012",183.14,186.28,186.56,182.92,5.31M,-2.42%
"Feb 07, 2012",184.19,182.65,184.94,182.06,5.10M,0.57%
"Feb 08, 2012",185.48,184.95,186.49,182.91,5.48M,0.70%
"Feb 09, 2012",184.98,184.5,185.69,181.76,7.19M,-0.27%
"Feb 10, 2012",185.54,183.42,187.63,182.52,5.80M,0.30%
"Feb 13, 2012",191.59,187.17,192.5,185.68,6.07M,3.26%
"Feb 14, 2012",191.3,191.08,193.57,186.1,9.53M,-0.15%
"Feb 15, 2012",184.47,191.29,191.54,183.26,7.80M,-3.57%
"Feb 16, 2012",179.93,177.79,181.68,175.14,12.57M,-2.46%
"Feb 17, 2012",182.5,180.09,183.41,179.36,7.42M,1.43%
"Feb 21, 2012",182.26,182.65,184.75,180.58,6.76M,-0.13%
"Feb 22, 2012",180.58,181.95,182.99,180.29,5.79M,-0.92%
"Feb 23, 2012",178.89,179.64,180.75,176.96,5.16M,-0.94%
"Feb 24, 2012",179.13,179.7,180.74,178.37,3.67M,0.13%
"Feb 27, 2012",178.53,177.54,179.19,176.5,3.71M,-0.33%
"Feb 28, 2012",183.8,178.9,184.29,177.95,5.76M,2.95%
"Feb 29, 2012",179.69,183.89,184,179.01,5.30M,-2.24%
"Mar 01, 2012",180.04,179.89,180.49,176.58,4.94M,0.19%
"Mar 02, 2012",179.3,179.48,181.84,178.92,3.66M,-0.41%
"Mar 05, 2012",180.26,179,181.82,178.18,4.68M,0.54%
"Mar 06, 2012",181.09,178.68,183.5,178.04,5.61M,0.46%
"Mar 07, 2012",183.77,182.65,185.5,182.4,4.95M,1.48%
"Mar 08, 2012",187.64,184.17,188.38,183.8,4.22M,2.11%
"Mar 09, 2012",184.32,186.79,187.2,183.44,4.51M,-1.77%
"Mar 12, 2012",183.39,184.13,185.4,182.2,2.59M,-0.50%
"Mar 13, 2012",184.59,183.92,184.87,180.77,4.40M,0.65%
"Mar 14, 2012",182.26,183.65,184.32,181.14,3.70M,-1.26%
"Mar 15, 2012",184.43,182.02,184.43,180.3,4.16M,1.19%
"Mar 16, 2012",185.05,183.28,185.68,182.35,4.93M,0.34%
"Mar 19, 2012",185.52,183.45,186.68,183,3.90M,0.25%
"Mar 20, 2012",192.33,184.88,194.41,182.88,9.17M,3.67%
"Mar 21, 2012",191.73,192.5,194.28,191.26,4.22M,-0.31%
"Mar 22, 2012",192.4,190.54,194.06,190.26,3.74M,0.35%
"Mar 23, 2012",195.04,192.01,196.2,191.8,5.98M,1.37%
"Mar 26, 2012",202.87,196.48,202.97,195.5,7.62M,4.01%
"Mar 27, 2012",205.44,203.59,209.85,202.88,9.60M,1.27%
"Mar 28, 2012",201.16,206.14,207,200.31,6.25M,-2.08%
"Mar 29, 2012",204.61,201.28,205.31,200.63,5.71M,1.72%
"Mar 30, 2012",202.51,205.02,206.85,201.87,4.44M,-1.03%
"Apr 02, 2012",198.05,198.02,199.9,197,6.43M,-2.20%
"Apr 03, 2012",199.66,198.24,202.39,197.5,5.00M,0.81%
"Apr 04, 2012",193.99,196.95,197.68,192.36,5.46M,-2.84%
"Apr 05, 2012",194.39,193.55,196.03,193.55,3.22M,0.21%
"Apr 09, 2012",191.87,192.02,194.2,190.5,3.14M,-1.30%
"Apr 10, 2012",186.98,192.75,193.52,186.57,4.46M,-2.55%
"Apr 11, 2012",187.97,189.63,191.97,186.79,4.34M,0.53%
"Apr 12, 2012",190.69,188.06,192.26,185.61,4.03M,1.45%
"Apr 13, 2012",188.46,189.9,189.94,186.26,3.43M,-1.17%
"Apr 16, 2012",185.5,189.01,189.47,183.65,4.04M,-1.57%
"Apr 17, 2012",188.39,187.21,190.04,186.87,2.83M,1.56%
"Apr 18, 2012",191.07,188.82,193.45,188.74,4.00M,1.42%
"Apr 19, 2012",191.1,192.93,194.55,189.75,4.00M,0.02%
"Apr 20, 2012",189.98,192.34,193.48,189.8,3.24M,-0.59%
"Apr 23, 2012",188.24,188.99,188.99,185.51,3.48M,-0.92%
"Apr 24, 2012",190.33,188.68,190.7,186.51,3.38M,1.11%
"Apr 25, 2012",194.42,191.67,194.8,191.6,3.96M,2.15%
"Apr 26, 2012",195.99,193.57,196.36,193.02,10.23M,0.81%
"Apr 27, 2012",226.85,224.83,228.69,220.22,22.11M,15.75%
"Apr 30, 2012",231.9,223.95,233.84,223.05,9.77M,2.23%
"May 01, 2012",230.04,229.4,232.97,228.4,6.76M,-0.80%
"May 02, 2012",230.25,227.82,231.44,227.4,4.59M,0.09%
"May 03, 2012",229.45,229.74,232.53,228.03,4.06M,-0.35%
"May 04, 2012",223.99,227.8,229.72,223.74,4.59M,-2.38%
"May 07, 2012",225.16,222.36,226.87,222.29,3.31M,0.52%
"May 08, 2012",223.9,223.15,225.39,218.2,4.52M,-0.56%
"May 09, 2012",222.98,220.59,225.78,220.16,3.71M,-0.41%
"May 10, 2012",226.69,223.91,229.08,221.95,4.65M,1.66%
"May 11, 2012",227.68,225.95,230.68,225.73,4.20M,0.44%
"May 14, 2012",222.93,225.6,227.29,222.51,3.10M,-2.09%
"May 15, 2012",224.39,226.5,230.61,223,5.72M,0.65%
"May 16, 2012",224.06,225,228,222.5,5.26M,-0.15%
"May 17, 2012",218.36,225.05,226,218.09,4.51M,-2.54%
"May 18, 2012",213.85,219.41,219.63,212.81,5.23M,-2.07%
"May 21, 2012",218.11,214.03,219.98,212.82,3.58M,1.99%
"May 22, 2012",215.33,218.31,218.87,213.96,3.73M,-1.27%
"May 23, 2012",217.28,214.71,217.55,211.18,4.24M,0.91%
"May 24, 2012",215.24,216.98,217.66,212.7,3.14M,-0.94%
"May 25, 2012",212.89,214.99,215.98,212.22,2.17M,-1.09%
"May 29, 2012",214.75,214.3,216.55,212.29,2.70M,0.87%
"May 30, 2012",209.23,212.14,212.98,207.75,4.09M,-2.57%
"May 31, 2012",212.91,209.48,213.79,207.11,4.94M,1.76%
"Jun 01, 2012",208.22,208.44,211.23,207.3,3.95M,-2.20%
"Jun 04, 2012",214.57,207.4,215.35,206.37,4.30M,3.05%
"Jun 05, 2012",213.21,213.85,216.86,211.16,3.55M,-0.63%
"Jun 06, 2012",217.64,214.63,218.4,214.52,2.72M,2.08%
"Jun 07, 2012",218.8,219.65,221.49,218.11,3.51M,0.53%
"Jun 08, 2012",218.48,218.61,219.42,216.66,2.88M,-0.15%
"Jun 11, 2012",216.5,217.49,220.87,215.2,3.75M,-0.91%
"Jun 12, 2012",216.42,217.65,218,214.52,2.83M,-0.04%
"Jun 13, 2012",214.73,215.52,217.38,213.52,2.33M,-0.78%
"Jun 14, 2012",214.45,215.26,216.5,212.56,3.06M,-0.13%
"Jun 15, 2012",218.35,215.29,219.33,214.46,3.79M,1.82%
"Jun 18, 2012",222.66,217.28,223.76,216.73,3.37M,1.97%
"Jun 19, 2012",224.03,223.26,225.2,221.66,2.72M,0.62%
"Jun 20, 2012",223.02,224.51,224.74,220.84,2.45M,-0.45%
"Jun 21, 2012",220.57,223.84,226.03,220.52,2.84M,-1.10%
"Jun 22, 2012",222.16,221.83,222.51,219.35,2.19M,0.72%
"Jun 25, 2012",220.07,220.3,221.59,218,2.38M,-0.94%
"Jun 26, 2012",225.61,221.45,226.39,221.45,3.76M,2.52%
"Jun 27, 2012",225.62,225.01,227.5,223.3,2.80M,0.00%
"Jun 28, 2012",221.31,223.92,224.62,218.75,3.00M,-1.91%
"Jun 29, 2012",228.35,224.7,228.35,223.71,3.62M,3.18%
"Jul 02, 2012",229.32,229.3,229.34,226.34,2.33M,0.42%
"Jul 03, 2012",229.53,229.14,229.53,227.59,1.34M,0.09%
"Jul 05, 2012",227.06,228.62,230.5,226.53,2.68M,-1.08%
"Jul 06, 2012",225.05,226.35,228.9,224.18,3.20M,-0.89%
"Jul 09, 2012",225.05,225,226,223.45,1.92M,0.00%
"Jul 10, 2012",219.5,226.25,227.14,218.28,2.98M,-2.47%
"Jul 11, 2012",218.37,218.95,221.74,215.34,2.73M,-0.51%
"Jul 12, 2012",215.36,216.61,217.3,212.61,2.62M,-1.38%
"Jul 13, 2012",218.39,215.63,219.31,213.88,2.22M,1.41%
"Jul 16, 2012",216.01,216.6,218.31,214.46,2.00M,-1.09%
"Jul 17, 2012",216.93,217.45,217.94,213.96,1.99M,0.43%
"Jul 18, 2012",217.47,216.15,218.67,215.71,2.10M,0.25%
"Jul 19, 2012",226.17,220.73,227.5,220.69,5.45M,4.00%
"Jul 20, 2012",228.29,225.36,229.39,225.29,4.17M,0.94%
"Jul 23, 2012",226.01,224.72,226.58,221.54,5.52M,-1.00%
"Jul 24, 2012",223.04,226.27,226.61,221.23,5.02M,-1.31%
"Jul 25, 2012",217.05,222,222.5,215.91,3.65M,-2.69%
"Jul 26, 2012",220.01,220,221.45,214.95,6.94M,1.36%
"Jul 27, 2012",237.32,225.25,238.34,224.5,11.32M,7.87%
"Jul 30, 2012",236.09,237,240.74,234.07,3.74M,-0.52%
"Jul 31, 2012",233.3,235.1,236.3,231.61,3.46M,-1.18%
"Aug 01, 2012",232.09,234.14,234.38,230.7,2.54M,-0.52%
"Aug 02, 2012",230.81,230.56,234.34,228.66,3.05M,-0.55%
"Aug 03, 2012",234.97,234.03,236.49,233.03,2.83M,1.80%
"Aug 06, 2012",233.99,235.56,235.74,233.81,1.84M,-0.42%
"Aug 07, 2012",236.56,234.13,238,233.25,2.06M,1.10%
"Aug 08, 2012",234.38,235.29,236.45,233.59,1.53M,-0.92%
"Aug 09, 2012",234.06,233.93,235.99,233.5,1.55M,-0.14%
"Aug 10, 2012",232.75,233.08,234.85,231.43,1.85M,-0.56%
"Aug 13, 2012",232.44,232.23,234.37,231,2.00M,-0.13%
"Aug 14, 2012",233.19,234.71,236.72,232.62,2.75M,0.32%
"Aug 15, 2012",237.42,232.26,238.14,232.25,3.27M,1.81%
"Aug 16, 2012",241.55,237.72,242.82,236.2,4.31M,1.74%
"Aug 17, 2012",241.17,240.6,243.35,240.47,3.09M,-0.16%
"Aug 20, 2012",240.35,241.37,241.65,238.2,1.89M,-0.34%
"Aug 21, 2012",239.45,240.88,243.85,238.55,2.57M,-0.37%
"Aug 22, 2012",243.1,239.4,244.9,238.8,2.47M,1.52%
"Aug 23, 2012",241.2,242.14,243.48,239.02,2.45M,-0.78%
"Aug 24, 2012",245.74,241.68,246.87,241.36,3.70M,1.88%
"Aug 27, 2012",243.92,245.79,247.5,243.12,2.93M,-0.74%
"Aug 28, 2012",246.11,243.97,246.78,243,2.75M,0.90%
"Aug 29, 2012",247.12,246.78,247.61,244.59,1.77M,0.41%
"Aug 30, 2012",246.22,246.99,250,245.25,3.65M,-0.36%
"Aug 31, 2012",248.27,248.07,249.45,245.5,3.35M,0.83%
"Sep 04, 2012",247.88,248.27,251,244.66,3.95M,-0.16%
"Sep 05, 2012",246.22,247.61,248.61,245.3,2.65M,-0.67%
"Sep 06, 2012",251.38,248.23,252.7,247.2,5.36M,2.10%
"Sep 07, 2012",259.14,253.85,259.42,253.52,5.03M,3.09%
"Sep 10, 2012",257.09,259,260,256.82,2.57M,-0.79%
"Sep 11, 2012",255.67,257.6,257.6,254.26,2.53M,-0.55%
"Sep 12, 2012",255.63,256.5,257.78,253.5,2.27M,-0.02%
"Sep 13, 2012",260.24,254.94,262,253.8,3.53M,1.80%
"Sep 14, 2012",261.27,261.4,264.11,259.77,3.67M,0.40%
"Sep 17, 2012",258,261.25,261.25,257,2.31M,-1.25%
"Sep 18, 2012",258.75,258.48,260.5,257,2.22M,0.29%
"Sep 19, 2012",261.68,259.45,262.84,258.53,2.64M,1.13%
"Sep 20, 2012",260.81,260.03,260.87,258,2.91M,-0.33%
"Sep 21, 2012",257.47,261.74,262,256.74,6.06M,-1.28%
"Sep 24, 2012",254.81,255.22,255.6,253,2.71M,-1.03%
"Sep 25, 2012",252.46,256.33,258.95,251.03,4.41M,-0.92%
"Sep 26, 2012",249.67,252.4,254.61,248.23,2.92M,-1.11%
"Sep 27, 2012",256.59,250.54,257.4,250.52,3.40M,2.77%
"Sep 28, 2012",254.32,256.14,257,253.2,2.46M,-0.88%
"Oct 01, 2012",252.01,255.4,256.16,250.49,2.58M,-0.91%
"Oct 02, 2012",250.6,252.8,253.15,249.03,2.20M,-0.56%
"Oct 03, 2012",255.92,251.21,256.1,249.56,2.75M,2.12%
"Oct 04, 2012",260.47,256.01,261.52,255.87,2.71M,1.78%
"Oct 05, 2012",258.51,261.2,261.9,257.49,2.81M,-0.75%
"Oct 08, 2012",259.06,257.67,259.8,255.56,1.76M,0.21%
"Oct 09, 2012",250.96,258.67,259.35,250.73,3.50M,-3.13%
"Oct 10, 2012",244.99,252,252.46,244.01,3.95M,-2.38%
"Oct 11, 2012",244.22,248,249.3,241.89,3.45M,-0.31%
"Oct 12, 2012",242.36,243.18,245.46,241.91,2.20M,-0.76%
"Oct 15, 2012",244.18,242.85,244.78,238.51,2.96M,0.75%
"Oct 16, 2012",243.94,244.87,245.77,242.08,2.20M,-0.10%
"Oct 17, 2012",247.49,243.37,248.8,243.3,3.30M,1.46%
"Oct 18, 2012",244.85,247.77,250.91,242.7,5.31M,-1.07%
"Oct 19, 2012",240,245.16,246.82,238.94,4.40M,-1.98%
"Oct 22, 2012",233.78,238.81,238.95,232.32,4.50M,-2.59%
"Oct 23, 2012",234.31,231.05,236.5,230.01,4.43M,0.23%
"Oct 24, 2012",228.49,235.88,235.94,227.95,3.68M,-2.48%
"Oct 25, 2012",222.92,230.92,230.92,222.92,6.74M,-2.44%
"Oct 26, 2012",238.24,228.6,238.71,226.69,11.37M,6.87%
"Oct 31, 2012",232.89,236.32,238.7,230.5,4.80M,-2.25%
"Nov 01, 2012",232.14,234.23,234.55,231.34,3.91M,-0.32%
"Nov 02, 2012",232.42,234.01,237.4,232.11,3.37M,0.12%
"Nov 05, 2012",234.33,232.04,234.83,230.11,1.85M,0.82%
"Nov 06, 2012",237.56,235.41,237.75,234.45,2.66M,1.38%
"Nov 07, 2012",232.06,235.65,235.66,229.42,3.63M,-2.32%
"Nov 08, 2012",227.35,232.22,233.45,227.1,2.99M,-2.03%
"Nov 09, 2012",226.31,226.26,230.97,224.6,3.09M,-0.46%
"Nov 12, 2012",226.47,226.59,229.22,225.41,2.13M,0.07%
"Nov 13, 2012",226.6,225.12,227.9,224.71,2.63M,0.06%
"Nov 14, 2012",222.95,226.5,227.41,222.51,3.03M,-1.61%
"Nov 15, 2012",220.6,222.3,225.16,218.18,3.40M,-1.05%
"Nov 16, 2012",225.23,221.31,226.25,218.64,4.35M,2.10%
"Nov 19, 2012",229.71,228.32,232.5,227.45,3.59M,1.99%
"Nov 20, 2012",233.78,230,233.82,229.5,2.77M,1.77%
"Nov 21, 2012",238.03,233.84,238.67,232.75,2.96M,1.82%
"Nov 23, 2012",239.88,239.89,240,236.48,1.78M,0.78%
"Nov 26, 2012",243.62,240.39,244.32,238,4.18M,1.56%
"Nov 27, 2012",243.4,243.22,245.67,241.54,3.05M,-0.09%
"Nov 28, 2012",247.11,242.45,247.23,241.5,2.74M,1.52%
"Nov 29, 2012",251.27,248.05,252.48,247.5,5.31M,1.68%
"Nov 30, 2012",252.05,250.38,252.65,248.27,3.80M,0.31%
"Dec 03, 2012",250.33,252.54,254.16,250,2.99M,-0.68%
"Dec 04, 2012",252.49,249.94,253,248.66,3.12M,0.86%
"Dec 05, 2012",253.96,252.44,255.55,250.38,2.85M,0.58%
"Dec 06, 2012",253.37,253,255.17,251.51,3.56M,-0.23%
"Dec 07, 2012",253.27,254.14,255.21,252.01,2.17M,-0.04%
"Dec 10, 2012",247.77,253.1,254.78,247.3,3.51M,-2.17%
"Dec 11, 2012",250.69,248.5,253.48,246.65,4.19M,1.18%
"Dec 12, 2012",251.76,251.07,254.36,250.06,2.63M,0.43%
"Dec 13, 2012",251.25,251.11,254.54,250.02,2.46M,-0.20%
"Dec 14, 2012",249.19,250.11,251.9,247.79,2.53M,-0.82%
"Dec 17, 2012",253.86,249.81,254,249.26,2.28M,1.87%
"Dec 18, 2012",260.4,254.57,263.11,254.57,4.96M,2.58%
"Dec 19, 2012",257.99,261.3,261.67,257.68,2.30M,-0.93%
"Dec 20, 2012",261.5,258.36,262.41,256.54,2.59M,1.36%
"Dec 21, 2012",256.92,257.82,258.38,255.74,4.70M,-1.75%
"Dec 24, 2012",258.62,257.3,259.5,256.96,986.44K,0.66%
"Dec 26, 2012",248.63,257.15,257.42,248.04,4.15M,-3.86%
"Dec 27, 2012",248.31,248.28,249.35,242.86,3.64M,-0.13%
"Dec 28, 2012",245.18,245.85,247.44,245.05,1.86M,-1.26%
"Dec 31, 2012",250.87,243.75,252.41,242.75,3.42M,2.32%
"Jan 02, 2013",257.31,256.08,258.1,253.26,3.27M,2.57%
"Jan 03, 2013",258.48,257.27,260.88,256.37,2.75M,0.45%
"Jan 04, 2013",259.15,257.58,259.8,256.65,1.88M,0.26%
"Jan 07, 2013",268.46,262.97,269.73,262.67,4.91M,3.59%
"Jan 08, 2013",266.38,267.07,268.98,263.57,3.01M,-0.77%
"Jan 09, 2013",266.35,268.17,269.5,265.4,2.27M,-0.01%
"Jan 10, 2013",265.34,268.54,268.74,262.3,2.87M,-0.38%
"Jan 11, 2013",267.94,265.1,268.43,264.11,2.41M,0.98%
"Jan 14, 2013",272.73,268,274.26,267.54,4.27M,1.79%
"Jan 15, 2013",271.9,270.68,272.73,269.3,2.33M,-0.30%
"Jan 16, 2013",268.93,270.53,271.24,267.83,2.07M,-1.09%
"Jan 17, 2013",270.48,271.5,271.97,269.21,1.88M,0.58%
"Jan 18, 2013",272.12,270.83,274.5,269.6,2.94M,0.61%
"Jan 22, 2013",270.19,271.62,272.1,269.23,2.14M,-0.71%
"Jan 23, 2013",268.11,270.57,271.09,266.65,2.51M,-0.77%
"Jan 24, 2013",273.62,269.37,276.65,269.37,3.42M,2.06%
"Jan 25, 2013",283.99,275,284.72,274.4,4.97M,3.79%
"Jan 28, 2013",276.04,283.78,284.48,274.4,4.32M,-2.80%
"Jan 29, 2013",260.35,275.35,275.46,258.35,10.17M,-5.68%
"Jan 30, 2013",272.76,283,284.2,267.11,13.08M,4.77%
"Jan 31, 2013",265.5,271.04,275.94,263.7,6.78M,-2.66%
"Feb 01, 2013",265,268.93,268.93,262.8,6.12M,-0.19%
"Feb 04, 2013",259.98,262.78,264.68,259.07,3.72M,-1.89%
"Feb 05, 2013",266.89,262,268.03,261.46,4.01M,2.66%
"Feb 06, 2013",262.22,265.16,266.89,261.11,2.77M,-1.75%
"Feb 07, 2013",260.23,264.1,264.1,255.11,3.98M,-0.76%
"Feb 08, 2013",261.95,261.4,265.25,260.56,3.88M,0.66%
"Feb 11, 2013",257.21,263.2,263.25,256.6,3.41M,-1.81%
"Feb 12, 2013",258.7,259.19,260.16,257,2.94M,0.58%
"Feb 13, 2013",269.47,261.53,269.96,260.3,5.30M,4.16%
"Feb 14, 2013",269.24,267.37,270.65,265.4,3.46M,-0.09%
"Feb 15, 2013",265.09,267.63,268.92,263.11,3.98M,-1.54%
"Feb 19, 2013",269.75,265.91,270.11,264.5,2.86M,1.76%
"Feb 20, 2013",266.41,270.2,274.3,266.37,3.53M,-1.24%
"Feb 21, 2013",265.94,265.12,269.48,263.25,3.64M,-0.18%
"Feb 22, 2013",265.42,266.62,267.11,261.61,3.13M,-0.20%
"Feb 25, 2013",259.87,266.94,268.69,259.65,3.03M,-2.09%
"Feb 26, 2013",259.36,260.89,262.04,255.73,3.35M,-0.20%
"Feb 27, 2013",263.25,259.4,265.83,256.86,2.91M,1.50%
"Feb 28, 2013",264.27,261.81,267,260.63,2.67M,0.39%
"Mar 01, 2013",265.74,263.27,266.6,261.04,2.96M,0.56%
"Mar 04, 2013",273.11,265.36,273.3,264.14,3.46M,2.77%
"Mar 05, 2013",275.59,274,276.68,269.99,3.69M,0.91%
"Mar 06, 2013",273.79,275.76,276.49,271.83,2.05M,-0.65%
"Mar 07, 2013",273.88,274.1,274.8,271.85,1.94M,0.03%
